ID,Text,email,address,firstname,lastname,keywords,journal,jabbrv,day,month,year,abstract,doi,pmid,Label,Pre-Loaded,Profile,Timestamp,Verified,Verified By,Verified Timestamp
10412,Climate-related soil saturation and peatland development may have conditioned surface water brownification at a central European lake for millennia.,,,,,Bohemian Forest; Dystrophication; Humic substances; Mid-Holocene climate transition; Natural acidification; Paludification; Soil; Water; Ecosystem,The Science of the total environment,Sci Total Environ,15,12,2022,"""Water brownification has long altered freshwater ecosystems across the northern hemisphere. The intensive surface water brownification of the last 30 years was however preceded by previous long-lasting more humic browning episodes in many catchments. To disentangle a cascade of browning-induced environmental stressors this longer temporal perspective is essential and can be reconstructed using paleolimnological investigations. Here we present a Holocene duration multi-proxy paleolimnological record from a small forest mountain lake in the Bohemian Forest (Czechia) and show that climate-related soil saturation and peatland development has driven surface water brownification for millennia there. A long core retrieved from the central part of the lake was dated using <sup>14</sup>C and <sup>210</sup>Pb, subsampled and analyzed for diatoms and zoological indicator (chironomids, planktonic cladocerans) remains. X-ray fluorescence (XRF) provided a record of elements sensitive to biogeochemical processes connected to browning and catchment development (P, Ti, Al/Rb, Fe/Ti, Mn/Ti, Si/Ti). Three threshold shifts related to the processes of water browning were detected in both diatom and chironomid successions at ~10.7, ~5.5 and ~4.2 cal. ky BP. Since, postglacial afforestation of the catchment ~10.7 cal. ky BP the lake experienced strong thermal stratification of the waters, but after ~6.8 cal. ky BP soil saturation and expansion of peatlands led to effective shading and probable nutrient limitation within the lake ecosystem. The more intensive in-wash of dissolved organic matter appears to decline after ~4.2 cal. ky BP, when the paludified catchment soils became permanently anoxic. Two temporary negative and positive anomalies of browning progress occur at the same time and may be connected with the """"8.2 ka event"""" and the """"4.2 ka event"""", respectively. The key role of peatlands presence in the catchment was manifested in millennial-scaled browning process and a climatic forcing of long-lasting browning is evidenced by coincidence with the moistening of climate across the northern hemisphere after ~6 cal. ky BP.""",10.1016/j.scitotenv.2022.159982,36356759,Neotoma,No,SimonGoring,2023-05-15 15:59:08.499396-04:00,No,,
22109,Contrasting the ecological effects of decreasing ice cover versus accelerated glacial melt on the High Arctic's largest lake.,,,,,Lake Hazen; Nunavut; climate change; diatoms; lake ice; palaeolimnology; Arctic Regions; Climate Change; Diatoms; Ecosystem; Environmental Monitoring; Ice Cover; Lakes; Plankton,Proceedings. Biological sciences,Proc Biol Sci,01,09,2020,"Lake Hazen, the High Arctic's largest lake, has received an approximately 10-fold increase in glacial meltwater since its catchment glaciers shifted from net mass gain to net mass loss in 2007 common era (CE), concurrent with recent warming. Increased glacial meltwater can alter the ecological functioning of recipient aquatic ecosystems via changes to nutrient budgets, turbidity and thermal regimes. Here, we examine a rare set of five high-resolution sediment cores collected in Lake Hazen between 1990 and 2017 CE to investigate the influence of increased glacial meltwater versus alterations to lake ice phenology on ecological change. Subfossil diatom assemblages in all cores show two major shifts over the past approximately 200 years including: (i) a proliferation of pioneering, benthic taxa at approximately 1900 CE from previously depauperate populations; and (ii) a rise in planktonic taxa beginning at approximately 1980 CE to present-day dominance. The topmost intervals from each sequentially collected core provide exact dates and demonstrate that diatom regime shifts occurred decades prior to accelerated glacial inputs. These data show that diatom assemblages in Lake Hazen are responding primarily to intrinsic lake factors linked to decreasing duration of lake ice and snow cover rather than to limnological impacts associated with increased glacial runoff.",10.1098/rspb.2020.1185,32576110,Neotoma,No,SimonGoring,2023-05-15 15:58:34.672466-04:00,No,,
22880,"Anthropogenic influence on the sediment chemistry and diatom assemblages of Balamtetik Lake, Chiapas, Mexico.",,,,,Deforestation; Diatoms; Erosion; Geochemistry; Infrared spectra; Wastewater; Animals; Diatoms; Eutrophication; Geologic Sediments; Lakes; Mexico,Environmental science and pollution research international,Environ Sci Pollut Res Int,10,07,2020,"Balamtetik is the receiving body of the Rio Grande de Comit&#xe1;n and is located just at the outskirts of the Montebello National Park, Chiapas, M&#xe9;xico. Multi-elemental, infrared spectra, <sup>137</sup>Cs, <sup>210</sup>Pb, and diatom analyses in a 75-cm sediment core were used to reconstruct the recent disturbance history of the lake. The sequence chronology, based mostly on <sup>137</sup>Cs profiles, allowed to infer high sedimentation rates in Balamtetik (~&#x2009;7&#xa0;mm/year) and a nearly cyclic series of disturbance events that can be related to anthropogenic causes such as deforestation and increased development of agriculture and urban areas at local and regional scale. These disturbance events show high local and regional erosion (high Ca, TIC, and Ti), soil organic matter (IR spectra), eutrophication (high P and diatoms), and anoxic bottom water conditions (low Mn) and can be dated to the early 1950s, the late 1950s, and from the 1980s until the 2000s. The entrance of wastewaters is related with an increase in salinity inferred by the diatom record and the organic matter type. The first two disturbance events are related to changes in land use during the agrarian reform that started during the 1940s; the last event is related with the increase in local population and the introduction of intensive agriculture. This last phase of disturbance corresponds with the reports of fish mortality events around 2003; however, high lake turbidity and anoxic bottom waters seem to have been established since the 1980s. The record from Lake Balamtetik also shows that during the intermediate periods, there was a recovery of the lake and its catchment; however, the future trends might be different, as the increase in the speed of organic matter and nutrients arrival to the lake reduces its resilience.",10.1007/s11356-019-04581-9,30887450,Neotoma,No,SimonGoring,2023-05-15 15:58:21.826991-04:00,No,,
3711,Quantitative relationship between modern surface pollen and plant community at quadrat scale.,,,,,Bray-Curtis dissimilarity; forest; pollen-vegetation relationship; quadrat; steppe; China; Ecosystem; Humans; Plants; Pollen,Ying yong sheng tai xue bao = The journal of applied ecology,Ying Yong Sheng Tai Xue Bao,03,03,2021,"Establishing a precise relationship between modern vegetation and surface pollen is the basis and key to quantitatively reconstruct paleovegetation and paleoclimate based on pollen records. The record of plant community plots has been less considered in the statistical analysis of modern vegetation and surface pollen, which limits the quantitative estimation of its precise relationship. In this study, the quantitative relationships of compositions and quantities between modern surface pollen and plant community were analyzed, based on the Bray-Curtis dissimilarity, through the analysis of 33 surface soil samples and corresponding vegetation plots from forest, meadow steppe, typical steppe and desert steppe on the Northeast China Transect. Results showed that, in a single plot, the relationships between vegetation and pollen in compositions and quantities were different across all families and genera, dominant and common families and genera, and less common and rare families and genera, respectively, due to the differences in pollen dispersal and pollen productivity. There were significant differences among different vegetation types. The compositions of meadow steppe differed greatly, while all families and genera, dominant and common families and genera differed greatly in the quantitative relationship in forest. Less common and rare families and genera differed greatly in the compositions in meadow steppe. The vegetation-pollen relationship of different families and genera was basically the same in terms of composition and quantities. According to the Bray-Curtis dissimilarity, pollen taxa could be divided into three types: over-representative, under-representative and representative types. This dissimilarity index represented both the species composition and quantity relationship between vegetation and pollen both at quadrat scale and at specie level, which could be used as an indicator to quantitatively describe the modern vegetation-pollen relationship. &#x5efa;&#x7acb;&#x73b0;&#x4ee3;&#x690d;&#x88ab;&#x4e0e;&#x8868;&#x571f;&#x82b1;&#x7c89;&#x7684;&#x7cbe;&#x786e;&#x5173;&#x7cfb;,&#x662f;&#x57fa;&#x4e8e;&#x5b62;&#x7c89;&#x8bb0;&#x5f55;&#x5b9a;&#x91cf;&#x91cd;&#x5efa;&#x53e4;&#x690d;&#x88ab;&#x4e0e;&#x53e4;&#x6c14;&#x5019;&#x7684;&#x57fa;&#x7840;&#x4e0e;&#x5173;&#x952e;&#x3002;&#x622a;&#x6b62;&#x76ee;&#x524d;,&#x690d;&#x7269;&#x7fa4;&#x843d;&#x6837;&#x65b9;&#x8bb0;&#x5f55;&#x8f83;&#x5c11;&#x53c2;&#x4e0e;&#x5230;&#x73b0;&#x4ee3;&#x690d;&#x88ab;&#x4e0e;&#x82b1;&#x7c89;&#x7684;&#x7edf;&#x8ba1;&#x5206;&#x6790;&#x4e2d;,&#x9650;&#x5236;&#x4e86;&#x5176;&#x7cbe;&#x786e;&#x5173;&#x7cfb;&#x7684;&#x5b9a;&#x91cf;&#x8868;&#x8fbe;&#x3002;&#x672c;&#x6587;&#x901a;&#x8fc7;&#x4e2d;&#x56fd;&#x4e1c;&#x5317;&#x6837;&#x5e26;&#x7684;&#x68ee;&#x6797;&#x3001;&#x8349;&#x7538;&#x8349;&#x539f;&#x3001;&#x5178;&#x578b;&#x8349;&#x539f;&#x548c;&#x8352;&#x6f20;&#x8349;&#x539f;33&#x4e2a;&#x8868;&#x571f;&#x6837;&#x54c1;&#x5206;&#x6790;&#x53ca;&#x690d;&#x88ab;&#x6837;&#x65b9;&#x8c03;&#x67e5;,&#x57fa;&#x4e8e;Bray-Curtis&#x76f8;&#x5f02;&#x7cfb;&#x6570;,&#x7814;&#x7a76;&#x4e86;&#x4e1c;&#x5317;&#x6837;&#x5e26;&#x73b0;&#x4ee3;&#x8868;&#x571f;&#x82b1;&#x7c89;&#x4e0e;&#x690d;&#x7269;&#x7fa4;&#x843d;&#x7ec4;&#x6210;&#x548c;&#x6570;&#x91cf;&#x4e4b;&#x95f4;&#x7684;&#x5b9a;&#x91cf;&#x5173;&#x7cfb;&#x3002;&#x7ed3;&#x679c;&#x8868;&#x660e;: &#x7531;&#x4e8e;&#x82b1;&#x7c89;&#x4f20;&#x64ad;&#x8ddd;&#x79bb;&#x548c;&#x82b1;&#x7c89;&#x4ea7;&#x91cf;&#x5927;&#x5c0f;&#x7684;&#x4e0d;&#x540c;,&#x5355;&#x4e2a;&#x6837;&#x70b9;&#x7684;&#x6240;&#x6709;&#x79d1;&#x5c5e;&#x3001;&#x4f18;&#x52bf;&#x548c;&#x5e38;&#x89c1;&#x79d1;&#x5c5e;&#x3001;&#x5c11;&#x89c1;&#x548c;&#x7a00;&#x6709;&#x79d1;&#x5c5e;,&#x5728;&#x7ec4;&#x6210;&#x548c;&#x6570;&#x91cf;&#x4e0a;&#x7684;&#x5173;&#x7cfb;&#x5b58;&#x5728;&#x5dee;&#x5f02;&#x3002;&#x4e0d;&#x540c;&#x690d;&#x88ab;&#x7c7b;&#x578b;&#x95f4;&#x5dee;&#x5f02;&#x663e;&#x8457;,&#x8349;&#x7538;&#x8349;&#x539f;&#x5728;&#x7ec4;&#x6210;&#x4e0a;&#x5dee;&#x5f02;&#x8f83;&#x5927;,&#x800c;&#x6240;&#x6709;&#x79d1;&#x5c5e;&#x3001;&#x4f18;&#x52bf;&#x548c;&#x5e38;&#x89c1;&#x79d1;&#x5c5e;&#x7684;&#x6570;&#x91cf;&#x5173;&#x7cfb;&#x5728;&#x68ee;&#x6797;&#x4e2d;&#x5dee;&#x5f02;&#x8f83;&#x5927;,&#x5c11;&#x89c1;&#x548c;&#x7a00;&#x6709;&#x79d1;&#x5c5e;&#x7684;&#x6570;&#x91cf;&#x5173;&#x7cfb;&#x5219;&#x5728;&#x8349;&#x7538;&#x8349;&#x539f;&#x4e2d;&#x5dee;&#x5f02;&#x8f83;&#x5927;&#x3002;&#x4e0d;&#x540c;&#x79d1;&#x5c5e;&#x7684;&#x690d;&#x88ab;-&#x82b1;&#x7c89;&#x5173;&#x7cfb;&#x5728;&#x7ec4;&#x6210;&#x548c;&#x6570;&#x91cf;&#x4e0a;&#x7684;&#x8d8b;&#x52bf;&#x57fa;&#x672c;&#x4e00;&#x81f4;,&#x6839;&#x636e;Bray-Curtis&#x76f8;&#x5f02;&#x7cfb;&#x6570;&#x53ef;&#x5c06;&#x8be5;&#x5730;&#x533a;&#x82b1;&#x7c89;&#x7c7b;&#x7fa4;&#x5212;&#x5206;&#x4e3a;3&#x7c7b;: &#x8d85;&#x4ee3;&#x8868;&#x6027;&#x7c7b;&#x578b;&#x3001;&#x4f4e;&#x4ee3;&#x8868;&#x6027;&#x7c7b;&#x578b;&#x548c;&#x9002;&#x4e2d;&#x4ee3;&#x8868;&#x6027;&#x7c7b;&#x578b;&#x3002;&#x8be5;&#x7cfb;&#x6570;&#x53ef;&#x4ee5;&#x83b7;&#x5f97;&#x6837;&#x65b9;&#x6c34;&#x5e73;&#x548c;&#x7269;&#x79cd;&#x6c34;&#x5e73;&#x4e0a;&#x690d;&#x88ab;-&#x82b1;&#x7c89;&#x7684;&#x7269;&#x79cd;&#x7ec4;&#x6210;&#x548c;&#x6570;&#x91cf;&#x5173;&#x7cfb;,&#x662f;&#x5b9a;&#x91cf;&#x63cf;&#x8ff0;&#x690d;&#x88ab;-&#x82b1;&#x7c89;&#x5173;&#x7cfb;&#x7684;&#x6709;&#x6548;&#x6307;&#x6807;&#x4e4b;&#x4e00;&#x3002;.",10.13287/j.1001-9332.202102.005,33650353,Neotoma,No,SimonGoring,2023-05-15 15:57:26.913519-04:00,No,,
23385,Combining High-Throughput Sequencing of sedaDNA and Traditional Paleolimnological Techniques To Infer Historical Trends in Cyanobacterial Communities.,,,,,"Canada; Cyanobacteria; DNA, Ancient; Lakes; RNA, Ribosomal, 16S",Environmental science &amp; technology,Environ Sci Technol,17,09,2019,"Freshwaters worldwide are under increasing pressure from anthropogenic activities and changing climate. Unfortunately, many inland waters lack sufficient long-term monitoring to assess environmental trends. Analysis of sedimentary ancient DNA ( sedaDNA) is emerging as a means to reconstruct the past occurrence of microbial communities of inland waters. The purpose of this study was to assess a combination of high-throughput sequencing (16S rRNA) of sedaDNA and traditional paleolimnological analyses to explore multidecadal relationships among cyanobacterial community composition, the potential for cyanotoxin production, and paleoenvironmental proxies. DNA was extracted from two sediment cores collected from a northern Canadian Great Plains reservoir. Diversity indices illustrated significant community-level changes since reservoir formation. Furthermore, higher relative abundances in more recent years were observed for potentially toxic cyanobacterial genera including Dolichospermum. Correlation-based network analysis revealed this trend significantly and positively correlated to abundances of the microcystin synthetase gene ( mcyA) and other paleoproxies (nutrients, pigments, stanols, sterols, and certain diatom species), demonstrating synchrony between molecular and more standard proxies. These findings demonstrate a novel approach to infer long-term dynamics of cyanobacterial diversity in inland waters and highlight the power of high-throughput sequencing to reconstruct trends in environmental quality and inform lake and reservoir management and monitoring program design.",10.1021/acs.est.7b06386,29782156,Neotoma,No,SimonGoring,2023-05-15 15:56:33.509165-04:00,No,,
21890,Anthropogenic impact on the historical phytoplankton community of Lake Constance reconstructed by multimarker analysis of sediment-core environmental DNA.,,,,,"Sediment core; biomonitoring; environmental DNA; eutrophication; molecular bioindicators; resilience; DNA, Environmental; Ecosystem; Environmental Monitoring; Eutrophication; Germany; Humans; Lakes; Phytoplankton",Molecular ecology,Mol Ecol,22,07,2021,"During the 20th century, many lakes in the Northern Hemisphere were affected by increasing human population and urbanization along their shorelines and catchment, resulting in aquatic eutrophication. Ecosystem monitoring commenced only after the changes became apparent, precluding any examination of timing and dynamics of initial community change in the past and comparison of pre- and postimpact communities. Peri-Alpine Lake Constance (Germany) underwent a mid-century period of eutrophication followed by re-oligotrophication since the 1980s and is now experiencing warm temperatures. We extended the period for which monitoring data of indicator organisms exist by analysing historical environmental DNA (eDNA) from a sediment core dating back some 110&#xa0;years. Using three metabarcoding markers-for microbial eukaryotes, diatoms and cyanobacteria-we revealed two major breakpoints of community change, in the 1930s and the mid-1990s. In our core, the latest response was exhibited by diatoms, which are classically used as palaeo-bioindicators for the trophic state of lakes. Following re-oligotrophication, overall diversity values reverted to similar ones of the early 20th century, but multivariate analysis indicated that the present community is substantially dissimilar. Community changes of all three groups were strongly correlated to phosphorus concentration changes, whereas significant relationships to temperature were only observed when we did not account for temporal autocorrelation. Our results indicate that each microbial group analysed exhibited a unique response, highlighting the particular strength of multimarker analysis of eDNA, which is not limited to organisms with visible remains and can therefore discover yet unknown responses and abiotic-biotic relationships.",10.1111/mec.15696,33070403,Neotoma,No,SimonGoring,2023-05-15 15:56:27.206109-04:00,No,,
25214,"Quaternary pollen record from laguna de tagua tagua, chile.",,,,,,"Science (New York, N.Y.)",Science,02,07,2010,"Pollen of southern beech and podocarp at Laguna de Tagua Tagua during the late Pleistocene indicates that cooler and more humid intervals were a feature of Ice Age climate at this subtropical latitude in Chile. The influence of the southern westerlies may have been greater at this time, and the effect of the Pacific anticyclone was apparently weakened. The climate today, wet in winter and dry in summer, supports broad sclerophyll vegetation that developed during the Holocene with the arrival of paleo-Indians and the extinction of mastodon and horse.",10.1126/science.219.4591.1429,17735194,Neotoma,No,SimonGoring,2023-05-15 15:51:16.361969-04:00,Yes,SimonGoring,2023-05-15 19:51:16.363297+00:00
355,"Ecological impacts of the industrial revolution in a lowland raised peat bog near Manchester, NW England.",,,,,UK; human impact; industrial revolution; paleoecology; peat bogs; pollen,Ecology and evolution,Ecol Evol,24,02,2023,"(1) Ombrotrophic peat bogs provide valuable records of environmental change on long timescales but are rarely preserved near the major centers of industrial activity. Holcroft Moss is a rare example of a stratigraphically intact lowland peat bog in NW England, which provides a valuable opportunity to trace industrial impacts on vegetation in a sensitive environmental archive close to the early industrializing cities of Manchester and Liverpool. (2) We reconstructed environmental changes at Holcroft Moss before and after the Industrial Revolution using a decadal-scale record of pollen, non-pollen palynomorphs, microcharcoal, peat composition (organic content and ash-free bulk density) and heavy metal content, constrained by a radiocarbon and SCP (spheroidal carbonaceous particle) chronology. We examine the relationship between abiotic and biotic environmental tracers using principal component analysis and evaluate the role of local and regional climatic and anthropogenic drivers using canonical redundancy analysis and partitioning of variation. (3) Results show significant changes in bog vegetation composition during the last 700&#x2009;years. Prior to 1750&#x2009;CE, climate and agro-pastoral activity (grazing and fires) were the main drivers of vegetation change. Subsequently, regional coal-fired industry contributed to major increases in atmospheric pollutants (dust, heavy metals, and acid deposition) that severely impacted vegetation, driving the decline of <i>Sphagnum</i>. Grasses rose to dominance in the 20th century associated especially with bog conversion and cumulative nitrogen deposition. Although atmospheric pollution significantly decreased in the post-industrial era, vegetation has not returned to pre-industrial conditions, reflecting the ongoing impact of global change drivers which pose challenges for conservation and restoration. (4) <i>Synthesis</i>. Paleoecological studies are needed to reveal the long-term history of vegetation degradation and to offer guidelines for restoration and conservation practices. This study reconstructs the last 700&#x2009;years of a peat bog located between Manchester and Liverpool, revealing the timing and nature of vegetation changes across the trajectory of early industrialization and eventual post-industrial decline. Our study reveals the progressive dominance of regional anthropogenic forcing and highlights that the present-day vegetation does not have past analogs within the last 700&#x2009;years. Conservation measures favoring the reintroduction of <i>Sphagnum</i> are justified in redressing the major biological legacy of the Industrial Revolution, while steps to increase <i>Calluna</i> should also be considered in light of its resilience to dry and fire-prone conditions.",10.1002/ece3.9807,36818526,Neotoma,No,SimonGoring,2023-05-14 14:59:45.383850-04:00,No,,
19690,Anthropocene history of rich fen acidification in W Poland - Causes and indicators of change.,,,,,Central Europe; Global warming; Human impact; Peatland degradation; Rich fen; Testate amoebae; Amoeba; Global Warming; Humans; Hydrogen-Ion Concentration; Poland; Wetlands,The Science of the total environment,Sci Total Environ,15,06,2022,"In the time of the global climate crisis, it is vital to protect and restore peatlands to maintain their functioning as carbon sinks. Otherwise, their transformations may trigger a shift to a carbon source state and further contribute to global warming. In this study, we focused on eutrophication, which resulted in the transition from rich fen to poor fen conditions on the Kazanie fen (central Greater Poland, western Poland Central Europe). The prior aim was to decipher how i) climate, ii) human, and iii) autogenic processes influenced the pathway of peatland changes in the last ca. 250 years. We applied a high-resolution palaeoecological analysis, based mainly on testate amoebae (TA) and plant macroremains. Our results imply that before ca. 1950 CE, dry shifts on the fen were generally climate-induced. Later, autogenic processes, human pressure and climate warming synergistically affected the fen, contributing to its transition to poor fen within ca. 30 years. Its establishment not only caused changes in vegetation but also altered TA taxonomic content and resulted in a lower diversity of TA. According to our research Microchlamyspatella is an incredibly sensitive testate amoeba that after ca. 200 years of presence, disappeared within 2 years due to changes in water and nutrient conditions. As a whole, our study provides a long-term background that is desired in modern conservation studies and might be used to define future restoration targets. It also confirms the already described negative consequences connected with unsustainable exploitation of nature.",10.1016/j.scitotenv.2022.155785,35537513,Neotoma,No,SimonGoring,2023-05-14 14:58:01.125633-04:00,No,,
23678,Holocene sea ice variability driven by wind and polynya efficiency in the Ross Sea.,,,,,,Nature communications,Nat Commun,17,08,2018,"The causes of the recent increase in Antarctic sea ice extent, characterised by large regional contrasts and decadal variations, remain unclear. In the Ross Sea, where such a sea ice increase is reported, 50% of the sea ice is produced within wind-sustained latent-heat polynyas. Combining information from marine diatom records and sea salt sodium and water isotope ice core records, we here document contrasting patterns in sea ice variations between coastal and open sea areas in Western Ross Sea over the current interglacial period. Since about 3600 years before present, an increase in the efficiency of regional latent-heat polynyas resulted in more coastal sea ice, while sea ice extent decreased overall. These past changes coincide with remarkable optima or minima in the abundances of penguins, silverfish and seal remains, confirming the high sensitivity of marine ecosystems to environmental and especially coastal sea ice conditions.",10.1038/s41467-017-01455-x,29109395,Neotoma,No,SimonGoring,2023-05-14 14:55:21.235440-04:00,No,,
